"lect_nr_provincia"	"lect_nr_municipio"	"lect_nr_estacion"	"lect_nr_estacion_long"	"lect_nr_magnitud"	"lect_tx_punto_muestreo"	"lect_nr_lectura"	"lect_cd_verificada"	"lect_dt_timestamp"
28	79	8	28079008	9	"28079008_9_47"	4.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	8	"28079008_8_8"	8.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	7	"28079008_7_8"	0.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	6	"28079008_6_48"	0.200	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	35	"28079008_35_59"	0.200	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	30	"28079008_30_59"	0.200	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	20	"28079008_20_59"	1.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	14	"28079008_14_6"	80.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	12	"28079008_12_8"	8.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	10	"28079008_10_47"	20.000	"V"	"2026-08-26 23:00:00"
28	79	8	28079008	1	"28079008_1_38"	2.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	9	"28079060_9_A"	5.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	8	"28079060_8_8"	6.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	7	"28079060_7_8"	0.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	14	"28079060_14_6"	87.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	12	"28079060_12_8"	6.000	"V"	"2026-08-26 23:00:00"
28	79	60	28079060	10	"28079060_10_47"	12.000	"V"	"2026-08-26 23:00:00"
28	79	59	28079059	8	"28079059_8_8"	7.000	"V"	"2026-08-26 23:00:00"
28	79	59	28079059	7	"28079059_7_8"	1.000	"V"	"2026-08-26 23:00:00"
28	79	59	28079059	14	"28079059_14_6"	84.000	"V"	"2026-08-26 23:00:00"
28	79	59	28079059	12	"28079059_12_8"	9.000	"V"	"2026-08-26 23:00:00"
28	79	58	28079058	8	"28079058_8_8"	1.000	"V"	"2026-08-26 23:00:00"
28	79	58	28079058	7	"28079058_7_8"	0.000	"V"	"2026-08-26 23:00:00"
28	79	58	28079058	14	"28079058_14_6"	92.000	"V"	"2026-08-26 23:00:00"
28	79	58	28079058	12	"28079058_12_8"	1.000	"V"	"2026-08-26 23:00:00"
28	79	57	28079057	9	"28079057_9_A"	5.000	"V"	"2026-08-26 23:00:00"
28	79	57	28079057	8	"28079057_8_8"	5.000	"V"	"2026-08-26 23:00:00"
28	79	57	28079057	7	"28079057_7_8"	1.000	"V"	"2026-08-26 23:00:00"
28	79	57	28079057	12	"28079057_12_8"	6.000	"V"	"2026-08-26 23:00:00"
28	79	57	28079057	10	"28079057_10_47"	13.000	"V"	"2026-08-26 23:00:00"
28	79	56	28079056	9	"28079056_9_47"	14.000	"V"	"2026-08-26 23:00:00"
